slug,title,asset_id,asset_type,themes,spatial_scope,temporal_type,has_official_example_code,has_official_recipe,has_band_metadata,band_count,recipe_band_count,official_url
NOAA_CFSR,CFSR: Climate Forecast System Reanalysis | Earth Engine Data Catalog | Google for Developers,NOAA/CFSR,ImageCollection,"surface_water,ocean,soil_water",global,time_series,True,True,True,94,0,https://developers.google.com/earth-engine/datasets/catalog/NOAA_CFSR?hl=zh-cn
projects_openet_assets_ensemble_conus_gridmet_monthly_v2_1,OpenET Ensemble Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ensemble/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ensemble_conus_gridmet_monthly_v2_1?hl=zh-cn
OpenET_GEESEBAL_CONUS_GRIDMET_MONTHLY_v2_0,OpenET geeSEBAL Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/GEESEBAL/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_GEESEBAL_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
projects_openet_assets_geesebal_conus_gridmet_monthly_v2_0,OpenET geeSEBAL Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/geesebal/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_geesebal_conus_gridmet_monthly_v2_0?hl=zh-cn
projects_openet_assets_geesebal_conus_gridmet_monthly_v2_1,OpenET geeSEBAL Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/geesebal/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_geesebal_conus_gridmet_monthly_v2_1?hl=zh-cn
projects_openet_assets_ptjpl_conus_gridmet_monthly_v2_0,OpenET PT-JPL Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ptjpl/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ptjpl_conus_gridmet_monthly_v2_0?hl=zh-cn
OpenET_PTJPL_CONUS_GRIDMET_MONTHLY_v2_0,OpenET PT-JPL Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/PTJPL/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_PTJPL_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
projects_openet_assets_ptjpl_conus_gridmet_monthly_v2_1,OpenET PT-JPL Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ptjpl/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ptjpl_conus_gridmet_monthly_v2_1?hl=zh-cn
projects_openet_assets_sims_conus_gridmet_monthly_v2_0,OpenET SIMS Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/sims/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_sims_conus_gridmet_monthly_v2_0?hl=zh-cn
OpenET_SIMS_CONUS_GRIDMET_MONTHLY_v2_0,OpenET SIMS Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/SIMS/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_SIMS_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
projects_openet_assets_sims_conus_gridmet_monthly_v2_1,OpenET SIMS Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/sims/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_sims_conus_gridmet_monthly_v2_1?hl=zh-cn
OpenET_SSEBOP_CONUS_GRIDMET_MONTHLY_v2_0,OpenET SSEBop Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,OpenET/SSEBOP/CONUS/GRIDMET/MONTHLY/v2_0,ImageCollection,evapotranspiration,regional,monthly,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/OpenET_SSEBOP_CONUS_GRIDMET_MONTHLY_v2_0?hl=zh-cn
projects_openet_assets_ssebop_conus_gridmet_monthly_v2_0,OpenET SSEBop Monthly Evapotranspiration v2.0 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ssebop/conus/gridmet/monthly/v2_0,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ssebop_conus_gridmet_monthly_v2_0?hl=zh-cn
projects_openet_assets_ssebop_conus_gridmet_monthly_v2_1,OpenET SSEBop Monthly Evapotranspiration v2.1 | Earth Engine Data Catalog | Google for Developers,projects/openet/assets/ssebop/conus/gridmet/monthly/v2_1,ImageCollection,evapotranspiration,regional,monthly,False,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/projects_openet_assets_ssebop_conus_gridmet_monthly_v2_1?hl=zh-cn
FAO_WAPOR_2_L1_AETI_D,WAPOR Actual Evapotranspiration and Interception 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_AETI_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_AETI_D?hl=zh-cn
FAO_WAPOR_3_L1_AETI_D,WAPOR Actual Evapotranspiration and Interception 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_AETI_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_AETI_D?hl=zh-cn
FAO_WAPOR_2_L1_RET_E,WAPOR Daily Reference Evapotranspiration 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_RET_E,ImageCollection,evapotranspiration,global,daily,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_RET_E?hl=zh-cn
FAO_WAPOR_3_L1_RET_E,WAPOR Daily Reference Evapotranspiration 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_RET_E,ImageCollection,evapotranspiration,global,daily,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_RET_E?hl=zh-cn
FAO_WAPOR_2_L1_E_D,WAPOR Dekadal Evaporation 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_E_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_E_D?hl=zh-cn
FAO_WAPOR_3_L1_E_D,WAPOR Dekadal Evaporation 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_E_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_E_D?hl=zh-cn
FAO_WAPOR_2_L1_I_D,WAPOR Dekadal Interception 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_I_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_I_D?hl=zh-cn
FAO_WAPOR_3_L1_I_D,WAPOR Dekadal Interception 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_I_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_I_D?hl=zh-cn
FAO_WAPOR_2_L1_NPP_D,WAPOR Dekadal Net Primary Production 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_NPP_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_NPP_D?hl=zh-cn
FAO_WAPOR_2_L1_RET_D,WAPOR Dekadal Reference Evapotranspiration 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_RET_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_RET_D?hl=zh-cn
FAO_WAPOR_3_L1_RET_D,WAPOR Dekadal Reference Evapotranspiration 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_RET_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_RET_D?hl=zh-cn
FAO_WAPOR_2_L1_T_D,WAPOR Dekadal Transpiration 2.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/2/L1_T_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_2_L1_T_D?hl=zh-cn
FAO_WAPOR_3_L1_T_D,WAPOR Dekadal Transpiration 3.0 | Earth Engine Data Catalog | Google for Developers,FAO/WAPOR/3/L1_T_D,ImageCollection,evapotranspiration,global,time_series,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_T_D?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level03,WWF HydroATLAS Basins Level 03 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level03,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level03?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level04,WWF HydroATLAS Basins Level 04 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level04,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level04?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level05,WWF HydroATLAS Basins Level 05 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level05,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level05?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level06,WWF HydroATLAS Basins Level 06 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level06,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level06?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level07,WWF HydroATLAS Basins Level 07 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level07,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level07?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level08,WWF HydroATLAS Basins Level 08 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level08,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level08?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level09,WWF HydroATLAS Basins Level 09 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level09,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level09?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level10,WWF HydroATLAS Basins Level 10 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level10,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level10?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level11,WWF HydroATLAS Basins Level 11 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level11,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level11?hl=zh-cn
WWF_HydroATLAS_v1_Basins_level12,WWF HydroATLAS Basins Level 12 | Earth Engine Data Catalog | Google for Developers,WWF/HydroATLAS/v1/Basins/level12,FeatureCollection,watershed,global,static,True,True,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroATLAS_v1_Basins_level12?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_1,WWF HydroSHEDS Basins Level 1 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_1,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_1?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_10,WWF HydroSHEDS Basins Level 10 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_10,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_10?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_11,WWF HydroSHEDS Basins Level 11 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_11,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_11?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_12,WWF HydroSHEDS Basins Level 12 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_12,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_12?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_2,WWF HydroSHEDS Basins Level 2 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_2,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_2?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_3,WWF HydroSHEDS Basins Level 3 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_3,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_3?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_4,WWF HydroSHEDS Basins Level 4 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_4,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_4?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_5,WWF HydroSHEDS Basins Level 5 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_5,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_5?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_6,WWF HydroSHEDS Basins Level 6 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_6,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_6?hl=zh-cn
WWF_HydroSHEDS_v1_Basins_hybas_7,WWF HydroSHEDS Basins Level 7 | Earth Engine Data Catalog | Google for Developers,WWF/HydroSHEDS/v1/Basins/hybas_7,FeatureCollection,watershed,global,static,True,False,False,0,0,https://developers.google.com/earth-engine/datasets/catalog/WWF_HydroSHEDS_v1_Basins_hybas_7?hl=zh-cn
